uuid,name,brand,street,house_number,post_code,city,latitude,longitude,cluster_20,cluster_25,cluster_30,cluster_35,cluster_40
2acc4724-ea6a-4874-baa6-e191ccb12756,"MUENCHEN, INNSBRUCKER RING",Shell,INNSBRUCKER RING 142,,81669,MUENCHEN,48.114907,11.617154,3.0,5.0,5.0,6.0,6
5a8fc6fd-6f03-4157-a7af-b0ee2b75307b,Esso Tankstelle,ESSO,MUENCHNER STR. 14, ,82319,STARNBERG,48.002091,11.348624,,8.0,7.0,9.0,13
6c2ff229-2e9a-47da-8394-8bff5ab91875,Esso Tankstelle,ESSO,EFFNERSTR. 130, ,81925,MUENCHEN,48.162809,11.624476,3.0,5.0,5.0,6.0,6
802e24d9-e991-4be7-bac1-7a4e4fc683e2,Aral Tankstelle,ARAL,Ingolstädter Str.,164-166,80939,München,48.20178,11.5861492,2.0,4.0,4.0,5.0,5
8d21423c-093d-43d1-99e4-da01ba69a9f8,Freie Tankstellen Singer,AVIA,Hauptstr.,19,85643,Tulling,48.083397,12.059923,,,,,0
f43d6a5b-352a-480f-836a-4ec6ca7b2da7,TOTAL FORSTERN,TOTAL,HAUPTSTR.,40,85659,FORSTERN,48.186554,11.975332,,,,0.0,1
00060279-0001-4444-8888-acdc00000001,A-S-C Schreyer,Tankstelle Schreyer,Lorenz-Braren-Str ,31,85229,Markt Indersdorf,48.348823547363,11.371603012085,,,1.0,1.0,1
00060289-0001-4444-8888-acdc00000001,Tankstelle Unsin,,Dachauer Str.,13,85253,Erdweg-Großberghofen,48.321155548096,11.316249847412,,,1.0,1.0,1
00060293-0001-4444-8888-acdc00000001,Erich Walter OHG,BFT,Rosen Str.,2,82216,Maisach,48.221450805664,11.265246391296,,1.0,2.0,2.0,2
00060441-0001-4444-8888-acdc00000001,Tankhof Sauerlach ,TANKHOF SAUERLACH,Ludwig-Bölkow-Straße ,1,82054,Sauerlach,47.971649169922,11.662834167481,0.0,2.0,0.0,1.0,1
00060446-0001-4444-8888-acdc00000001,Freie Tankstelle Schuster,,Münchner Str. ,31,82041,Oberhaching,48.029453277588,11.601210594177,0.0,2.0,0.0,0.0,1
00060471-0001-4444-8888-acdc00000001,Seitz Tankstelle Jetzendorf,Seitz Tankstellen,Gewerbering,1,85305,Jetzendorf,48.429363250732,11.427619934082,,,,1.0,1
00060508-0002-4444-8888-acdc00000002,Hans Ritz GmbH,Freie Tankstelle Hans Ritz,Ayingerstraße ,3,85649,Faistenhaar,47.984237670898,11.716430664062,0.0,2.0,0.0,1.0,1
00060558-0005-4444-8888-acdc00000005,Seitz Tankstelle Röhrmoos,Seitz Tankstellen,Schlammerstraße ,1,85244,Röhrmoos,48.33472442627,11.438884735107,,2.0,1.0,1.0,1
00060472-0003-4444-8888-acdc00000003,Seitz Tankstelle Alberzell,Seitz Tankstellen,Singenbacher Straße,24,85302,Alberzell,48.460731506348,11.343946456909,,,,,1
00060861-0006-4444-8888-acdc00000006,Seitz Tankstelle Niederroth,Seitz Tankstellen,Münchner Straße,9,85229,Niederroth,48.32597732544,11.3884973526,,,1.0,1.0,1
00061016-0008-4444-8888-acdc00000008,Seitz Tankstelle Hohenkammer,Seitz Tankstellen,Eisfeldstraße,2,85411,Hohenkammer,48.42879486084,11.523527145386,,,,1.0,1
00061017-0007-4444-8888-acdc00000007,Seitz Tankstelle Erdweg,Seitz Tankstellen,Hauptstraße,34,85253,Erdweg,48.331123352051,11.306722640991,,,1.0,1.0,1
00061428-0002-4444-8888-acdc00000002,E-Center Tankstelle,EDEKA,Haidling ,16,85567,Grafing,48.033046722412,11.959246635437,,,,3.0,3
00061467-0010-4444-8888-acdcffffffff,Kloiber GmbH,BFT-Tankstelle Kloiber GmbH,Gewerbering ,28,85238,Petershausen,48.41618347168,11.478831291199,,,,1.0,1
00061555-0001-4444-8888-acdc00000001,SI-Automobil-Service-Center GmbH,ST 2 Tankstelle,Indersdorferstraße,68,85256,Vierkirchen,48.360893249512,11.447950363159,,,1.0,1.0,1
00061651-0001-4444-8888-acdc00000001,Tankstelle Hamberger Großmarkt GmbH,,Friedenstraße,16,81671,München,48.12665939331,11.606442451477,1.0,3.0,3.0,4.0,4
0055bbb5-2c30-4cb9-89f4-d937cf121770,Aral Tankstelle,ARAL,Waldwiesenstraße,31,81375,München,48.11868,11.478302,2.0,4.0,4.0,5.0,5
00d5c1b0-ad92-428e-b1e0-067d8b8a76bc,München,Mr. Wash Autoservice AG,Landsberger Straße,420+426,81241,München,48.145315,11.477435,2.0,4.0,4.0,5.0,5
02071bff-1f29-4c5e-9823-3644589ee89e,"MUENCHEN, GUNDERMANNSTR.6.",Shell,GUNDERMANNSTR. 6,,80935,MUENCHEN,48.204544,11.558951,2.0,4.0,4.0,5.0,5
0271f0fc-65ed-4725-a922-57eec615195b,ALLGUTH GmbH  c/o Michael Dersch,ALLGUTH,Triebstraße,35,80993,München,48.187122,11.534851,2.0,4.0,4.0,5.0,5
05a9dda6-b9d0-4bc7-9374-47aa0387eb52,Freie Tankstelle Huber,Freie Tankstelle Huber,Öhnböcker Straße,5,82544,Egling,47.92424,11.50892,,2.0,0.0,1.0,1
09d5951b-3495-4160-a14a-52290eda4406,Hörndl Tank-u. Servicecenter,Hörndl Freie Tankstelle,Gewerbebogen,4,85661,Forstinning,48.17095,11.92062,,,1.0,1.0,1
09d6912f-0b17-4b80-9a90-8e9bbc297895,FTO-Freie Tankstelle Oliv,,Hauptstr,11,82549,Königsdorf,47.818496,11.482945,,,,,7
0a3ed70f-3854-4126-8b12-2d492a058b36,Bruckmühl Albert-Mayer-Str. 22,OMV,Albert-Mayer-Str.,22,83052,Bruckmühl,47.88208,11.93292,,,,,8
0a404032-7c67-4769-aeb6-2e153747c1f2,Bavaria Petrol,Bavaria Petrol,Ingolstädter Straße,59,80939,München,48.19296,11.58364,2.0,4.0,4.0,5.0,5
0abaccf2-5efa-4536-b5c5-afe3932e3724,"MUENCHEN, UNGERERSTR.",Shell,UNGERERSTR. 65,,80805,MUENCHEN,48.17129,11.594731,2.0,4.0,4.0,5.0,5
0c3b710a-3aae-45c9-998d-e0783ef83b60,"MUENCHEN, GRILLPARZERSTR",Shell,GRILLPARZERSTR. 15,,81675,MUENCHEN,48.134553,11.609854,3.0,5.0,5.0,6.0,6
0e18d0d3-ed38-4e7f-a18e-507a78ad901d,OIL! Tankstelle München,OIL!,Eversbuschstraße 33,,80999,München,48.1807,11.4609,2.0,4.0,4.0,5.0,5
0e630d02-c047-4bc4-b7f4-66450b4ffd67,MUENCHEN - QUIDDESTRAßE,Agip,Quiddestraße,31,81735,Muenchen,48.10898,11.64326,3.0,5.0,5.0,6.0,6
0e958d31-5503-4b9c-bf1d-5a18e20c473e,"MUENCHEN, SCHLEISSHEIMER STR.",Shell,SCHLEISSHEIMER STR. 272,,80809,MUENCHEN,48.174502,11.566272,2.0,4.0,4.0,5.0,5
0ea2f653-bce6-4e71-80b2-8cf7c893ba54,Aral Tankstelle,ARAL,Münchener Straße,42,82131,Gauting,48.06795,11.3872366,2.0,4.0,4.0,5.0,5
0f83c70b-31e7-43ba-967b-4361e5e69bf5,"ERDING, MUENCHENER STR.",Shell,MUENCHENER STR. 42,,85435,ERDING,48.303223,11.901461,,,,7.0,9
103afdaa-8f09-45df-a223-90f03f1f8d24,Poing Gruber Str. 80,OMV,Gruber Str.,80,85586,Poing,48.16862,11.7923,4.0,6.0,6.0,8.0,10
1106cf26-a0fa-48c3-8fdf-552dd038373b,"KARLSFELD, MÜNCHNER STR. 163.",Shell,MÜNCHNER STR. 163,,85757,KARLSFELD,48.225518,11.468155,2.0,4.0,4.0,5.0,5
11fd3e93-6c6e-43a5-baca-57260c10093c,ALLGUTH GmbH  c/o Gerald Poscharnig,ALLGUTH,Dieselstraße,100,85774,Unterföhring,48.18026,11.65478,3.0,5.0,5.0,6.0,6
123dd3f2-f551-4ecf-bda6-5b0be1a37005,BK-Tankstelle Uwe Möderl,,Hauptstraße ,9,82216,Maisach,48.2176,11.26055,,,2.0,2.0,2
1273302b-5410-4236-b8fa-391eaccb6295,Esso Tankstelle,ESSO,MUENCHENER STR. 57, ,85435,ERDING,48.301261,11.90053,,,,7.0,9
13c9783f-aaaf-471f-a296-d2b6f7dbb5d9,Tankstelle Schauer Stefanie,,Bahnhofstr. ,15,82299,Türkenfeld,48.10849,11.08265,,,,,11
16f46816-2141-41d4-b1d3-5ab808f1484d,BK-Tankstelle Auto Behnke GmbH,,Münchner Str. ,12,85667,Oberpframmern,48.0234,11.810742,,2.0,0.0,0.0,1
17e1d0a9-62fe-466d-9dac-455ef508dbfc,Aral Tankstelle,ARAL,Freischützstraße,4,81927,München,48.15757,11.6422386,3.0,5.0,5.0,6.0,6
19a36bac-ea1e-42b2-b7cd-c9f0fa8d0bd1,Esso Tankstelle,ESSO,WASSERBURGER LANDSTR. 292, ,81827,MUENCHEN,48.11079725,11.71430291,3.0,5.0,5.0,6.0,6
1a59fc8f-54b2-4793-9878-f55e023fb289,Bavaria Petrol,Bavaria Petrol,Zehentbauernstraße,7,81539,München,48.1142769,11.5762835,3.0,5.0,5.0,6.0,6
1b2de9d7-f360-4af8-a563-749a44418a27,ALLGUTH GmbH  c/o Alexander Schelling,ALLGUTH,Georg-Brauchle-Ring,30,80992,München,48.17653,11.535329,2.0,7.0,2.0,2.0,12
1b75ed80-2574-4156-aab9-5efb7d29e503,Esso Tankstelle,ESSO,UNGERERSTR. 54, ,80802,MUENCHEN,48.166116,11.590793,2.0,4.0,4.0,5.0,5
1cf17a0c-0091-4ea4-a12d-3ccf944c1947,Bavaria Petrol,Bavaria Petrol,Unterhachinger Straße,28,85521,Ottobrunn,48.0631447,11.6520119,0.0,0.0,0.0,0.0,0
1d46fba4-4886-4708-ae32-0ffad8d8a71f,"OTTOBRUNN, ROSENHEIMER LANDSTR.",Shell,ROSENHEIMER LANDSTR. 81,,85521,OTTOBRUNN,48.06027,11.664917,0.0,0.0,0.0,0.0,0
1f24686e-5700-43b0-9818-e7d9f000a9c2,BK-Tankstelle Anton Eschbaumer,,Ismaninger Straße ,13,85452,Moosinning,48.27554,11.834065,,2.0,0.0,0.0,1
1f4d9e78-38d8-45a5-84d0-2d6758380a1f,ALLGUTH GmbH  c/o Markus Berbalk,ALLGUTH,Chiemgaustr.,185,81549,München,48.109325,11.608658,3.0,5.0,5.0,6.0,6
1f939805-10bc-4227-967a-d96e97d9e48c,Aral Tankstelle,ARAL,Schondorfer Straße,12,86919,Utting am Ammersee,48.0277061,11.0855827,,,,,2
20d9d5ca-e707-40f6-8f92-d1d25aef555a,"DACHAU, WUERMSTR",Shell,WUERMSTR. 3,,85221,DACHAU,48.257508,11.462979,2.0,4.0,4.0,5.0,5
22ad5946-78de-4c03-8b3f-cb7bc0bf1c4d,ALLGUTH GmbH  c/o Maric Ivica,ALLGUTH,Münchner Str.,146,85757,Karlsfeld,48.22675,11.46493,2.0,4.0,4.0,5.0,5
23e00cd7-7415-4cda-a30a-836d26b3a4c3,"GILCHING, AM ROEMERSTEIN.",Shell,AM ROEMERSTEIN 16,,82205,GILCHING,48.105746,11.305187,,1.0,2.0,2.0,2
265e52da-a749-4517-9ba0-0566e9eaa33c,BK- Tankstelle Kastl,,Sonnenwiechserstr. ,43,83052,Bruckmühl,47.88371,11.927155,,,,,1
26bd62f8-6021-4418-ba4f-26100f8dca1e,"MUENCHEN, FUERSTENRIEDER STR.",Shell,FUERSTENRIEDER STR. 80,,80686,MUENCHEN,48.134003,11.502426,2.0,4.0,4.0,5.0,5
298ab794-5244-4a5f-8dbe-74c810c4c301,Esso Tankstelle,ESSO,ALLACHER STR. 20, ,80992,MUENCHEN,48.171821,11.507127,2.0,4.0,4.0,5.0,5
29b2c05b-a0ba-455f-b37a-d3c171358f31,Altomünster Aichacher Straße 13,OMV,Aichacher Str.,13,85250,Altomünster,48.38467,11.25065,,,,,8
2a6ec536-a1e2-44cd-aaa6-2abc46b36866,"München, Wasserburger Landstr. 285",HEM,Wasserburger Landstr.,285,81827,München,48.11121,11.71303,3.0,5.0,5.0,6.0,6
2aa5a805-38a3-450c-b92b-f08c78a5fad4,Aral Tankstelle,ARAL,Triebstraße,11e,80993,München,48.1876335,11.5308514,2.0,4.0,4.0,5.0,5
30638ceb-f6fe-4622-a22c-7b25602dbb05,TOTAL GROEBENZELL,TOTAL,OLCHINGER STR.,82,82194,GROEBENZELL,48.1861,11.384181,2.0,4.0,4.0,5.0,5
3118018a-15fe-4594-b75a-42d451037ff0,ALLGUTH GmbH  c/o Davide Cosentino,ALLGUTH,Fürstenrieder Straße,175,81377,München,48.11991,11.50302,2.0,8.0,7.0,9.0,13
32910e41-78b2-4c04-8170-38c3716c1232,Esso Tankstelle,ESSO,MUENCHENER STR. 15, ,85560,EBERSBERG,48.075966,11.963014,,,6.0,8.0,12
32f30926-01dd-41aa-9e05-7820caafd24f,Bavaria Petrol,Bavaria Petrol,Bodenseestraße,317,81249,München,48.1411858,11.4139547,2.0,4.0,4.0,5.0,5
340f434d-d973-48cd-930e-fd36bb46d124,ALLGUTH GmbH  c/o Thomas Ziegler,ALLGUTH,Leutstettener Str.,17,82319,Starnberg,48.0053,11.34913,,8.0,7.0,9.0,13
341c0b37-d4be-48d0-9f38-19a983694505,RAN Station,RAN,Münchner Str.,28,85354,Freising,48.3876,11.7368,,,,10.0,14
34ad8aa4-f447-4e08-be64-3142eb7629dd,Esso Tankstelle,ESSO,INNSBRUCKER RING 52, ,81671,MUENCHEN,48.123386,11.620232,3.0,5.0,5.0,6.0,6
34c0a4d3-3354-4f51-93ae-9e1b5bf6109f,VEWAG Verwaltungsgesellschaft mbH MW Tankstelle,,Alte Römer Str.,26,85435,Erding,48.31239,11.92051,,,,7.0,9
34c0c156-7eb2-4271-88e2-e7474dea15ca,Tankstelle Hedi Tauber,AVIA,Sonnenstraße,11,85232,Bergkirchen,48.259018,11.366684,,4.0,4.0,5.0,5
34d2cd04-efe1-4631-b56f-3d467f5988b6,TOTAL DACHAU,TOTAL,MUENCHNER STR,87,85221,DACHAU,48.245213,11.448775,2.0,4.0,4.0,5.0,5
364670ea-3d6c-448b-98e1-38c3b2bedb41,TAUFKIRCHEN - LINDENRING 5,Agip,Lindenring,5,82024,Taufkirchen,48.0521,11.60575,0.0,0.0,0.0,0.0,0
37b6464b-3645-4413-b635-46725421c835,Tansktelle Isen,Raiffeisen,Raiffeisenstr. ,1,84424,Isen,48.21389,12.05961,,,,,1
37d9e43f-38af-40e5-9402-abf6dee277c3,Aral Tankstelle,ARAL,Schleißheimer Straße,124,85748,Garching,48.2504,11.6067,7.0,10.0,9.0,12.0,16
3b7e660f-2f6c-4131-aece-8e859d8bdf62,Tankstelle Meier,Freie Tankstelle,Schulstraße ,1,85445,Schwaig,48.33946,11.83713,,,10.0,7.0,9
3bb87d5f-85b4-4206-ab88-58900c85d6d2,GRUENWALD - SUEDL.MUENCHENER STR.24,Agip,Suedl.Muenchener Str.,24 A,82031,Gruenwald,48.044654388867,11.528159934169,3.0,0.0,0.0,0.0,0
3cf58ebc-f182-445d-9e5e-3214576213a7,Krenn Tank-u. Shop GmbH,Freie Tankstelle Krenn,Kiefernstr. ,3,82549,Königsdorf,47.83168,11.478996,,,,13.0,7
3d2fe1ed-0684-4006-9b96-674a48debb8f,Aral Tankstelle,ARAL,Schleißheimer Straße,257,80809,München,48.1787872,11.5670967,2.0,4.0,4.0,5.0,5
3f0508b2-23a4-40bd-add2-f4b806bdf008,AVIA Tankstelle,AVIA,Freisinger Straße,2,85241,Hebertshausen,48.28949,11.471175,2.0,4.0,4.0,5.0,5
3f3b93ba-2d43-4d99-9416-efe161961bbb,MÜNCHEN - NEURIEDER STRASSE 18,Agip,Neurieder Strasse,18,81475,München,48.08752,11.48429,5.0,8.0,7.0,9.0,13
414897e6-396c-453a-98af-6816de6f3013,Tankstelle 1,Reitmayr TS,Augsburger Str. ,14,82178,Puchheim,48.1480546,11.3450828,8.0,2.0,1.0,14.0,11
417b06c4-5041-4e85-9227-8c9694ca9fb9,Esso Tankstelle,ESSO,ARNULFSTR. 279, ,80639,MUENCHEN,48.152336,11.514247,2.0,4.0,4.0,5.0,5
41c5eac2-7a17-46d8-90fe-d0a8c56db5fc,BK- Tankstelle Isarparkhaus,,Baader Str. ,6,80469,München,48.132946,11.580928,0.0,2.0,0.0,0.0,1
41d21507-a552-4311-873a-d0a2143292af,München Ottobrunner Straße 116,OMV,Ottobrunner Str.,116,81737,München,48.10269,11.62537,3.0,5.0,5.0,6.0,6
430f6f71-72cb-4996-9d4b-bb12d1793a92,ALLGUTH GmbH  c/o Qais Pirzai,ALLGUTH,Boschetsrieder Str.,139,81379,München,48.097958,11.511889,5.0,8.0,7.0,9.0,13
435c2e50-cc83-4620-9abc-0e972d7050d1,ALLGUTH GmbH  c/o Dragan Dugandzic,ALLGUTH ,Kreillerstraße,219,81825,München,48.121742,11.664057,3.0,5.0,5.0,6.0,6
43bd86fc-24e7-4880-9caf-8bc4d1fa42e9,TOTAL MUENCHEN,TOTAL,LERCHENAUER STR.,75,80809,MUENCHEN,48.18267,11.553935,2.0,4.0,4.0,5.0,5
4525cfca-7ed0-473c-add5-4ad165a93135,"BERG, A95 HOEHENRAIN OST",Shell,A95 HOEHENRAIN OST ,,82335,BERG,47.928612,11.401837,,,11.0,15.0,17
453b345b-e1a7-49a4-b785-89664328db7d,Aral Tankstelle,ARAL,Rosenheimer Straße,138,81669,München,48.1192055,11.6077719,3.0,5.0,5.0,6.0,6
47a417dc-a6f9-4890-b8e6-34672ab32f13,Pähl Unterhirschberg 4 a,Avanti,Unterhirschberg,4 a,82396,Pähl,47.8971,11.18832,,,,,5
4ab2ec26-a8ee-4e21-964d-a6425a9659b6,"KARLSFELD, MUENCHNER STR.",Shell,MUENCHNER STR. 174,,85757,KARLSFELD,48.224737,11.468527,2.0,4.0,4.0,5.0,5
4b7e7978-b9ac-4013-9c28-c6afbfd4cb2d,ALLGUTH GmbH c/o Roland Pawlik e.K.,ALLGUTH,Von-Kahr-Straße,1,80997,München,48.17871,11.48684,2.0,4.0,4.0,5.0,5
4b803544-57f2-49ae-9e49-670081e6d462,Garching Münchener Strasse 49,OMV,Münchener Str.,49,85748,Garching,48.24405,11.64723,7.0,10.0,9.0,12.0,16
4c256dc7-5995-4f7f-9b14-5eb222067462,Aral Tankstelle,ARAL,Isarstraße,3,85356,Freising,48.3974571,11.75929,,,,12.0,16
4ca27b13-2a7f-454d-a159-5907e83b1e24,ALLGUTH GmbH  c/o Werner Wagner,ALLGUTH,Landsberger Straße,90,82205,Gilching,48.09449,11.283,,8.0,7.0,9.0,13
4ced61f8-5a8f-4e52-9af6-57de5e3bff47,AVIA Tankstelle,AVIA,Hauptstraße,1,85254,Sulzemoos,48.28829,11.267048,,,2.0,5.0,5
51d4b42c-a095-1aa0-e100-80009459e03a,JET EGLHARTING HAUPTSTR. 45,JET,HAUPTSTR. 45,,85614,EGLHARTING,48.0819,11.8584,,1.0,6.0,8.0,12
51d4b442-a095-1aa0-e100-80009459e03a,JET KRAILLING GAUTINGER STR. 59,JET,GAUTINGER STR. 59,,82152,KRAILLING,48.09345,11.41162,2.0,4.0,4.0,5.0,5
51d4b46a-a095-1aa0-e100-80009459e03a,JET INNING BRUCKER STR. 2,JET,BRUCKER STR. 2,,82266,INNING,48.0788,11.1523,,,,5.0,2
51d4b47e-a095-1aa0-e100-80009459e03a,JET MUENCHEN TRUDERINGER STRASSE 186,JET,TRUDERINGER STRASSE 186,,81825,MUENCHEN,48.131712,11.643577,3.0,5.0,5.0,6.0,6
51d4b485-a095-1aa0-e100-80009459e03a,JET DACHAU DAIMLERSTR. 1,JET,DAIMLERSTR. 1,,85221,DACHAU,48.2618,11.4685,2.0,4.0,4.0,5.0,5
51d4b506-a095-1aa0-e100-80009459e03a,JET MUENCHEN VERDISTR. 142,JET,VERDISTR. 142,,81247,MUENCHEN,48.1648,11.4597,10.0,12.0,13.0,17.0,19
51d4b531-a095-1aa0-e100-80009459e03a,JET FELDKIRCHEN MUENCHNER STR. 23,JET,MUENCHNER STR. 23,,85622,FELDKIRCHEN,48.1448,11.7256,4.0,6.0,6.0,8.0,10
51d4b589-a095-1aa0-e100-80009459e03a,JET FREISING LANDSHUTER STRASSE 47,JET,LANDSHUTER STRASSE 47,,85356,FREISING,48.4065,11.7614,,,,12.0,16
51d4b591-a095-1aa0-e100-80009459e03a,JET MUENCHEN WOTANSTR. 85,JET,WOTANSTR. 85,,80639,MUENCHEN,48.1528,11.5073,2.0,4.0,4.0,5.0,5
