uuid,name,brand,street,house_number,post_code,city,latitude,longitude,cluster_20,cluster_25,cluster_30,cluster_35,cluster_40
c16bc9b8-5d85-4fda-b296-4757138d3e56,BK-Tankstelle Leonard Gramsamer,,Münchner Str. ,22,85464,Neufinsing,48.217754,11.799551,15.0,18.0,21.0,29.0,29
c1ab85a6-a64f-46b9-89d5-260cc1d5d77c,Aral Tankstelle,ARAL,Otto-Perutz-Straße,1-3,81829,München,48.1379471,11.71275,4.0,6.0,6.0,8.0,10
c28c5b0d-f5be-4e9b-8a4a-67cfc55751ec,AVIA Tankstelle,AVIA,Tegernseer Straße,5,83624,Otterfing,47.908215,11.676038,,,0.0,0.0,0
c55364d7-cb92-49e2-9792-50f91fcd33d5,Aral Tankstelle,ARAL,Münchener Straße,13,82054,Sauerlach,47.9736748,11.6536541,0.0,0.0,0.0,0.0,0
c573f0dc-aedb-46b4-a9dd-18b0eb06787e,Aral Tankstelle,ARAL,Schwere-Reiter-Straße,26,80797,München,48.1610031,11.5585041,2.0,4.0,4.0,5.0,5
c6392db4-8b59-420e-a403-b50092adea5b,"STARNBERG, MUENCHENER STR.",Shell,MÜNCHENER STR. 5,,82319,STARNBERG,48.002454,11.344501,,8.0,7.0,9.0,13
c76fa28b-4819-4319-9065-b6e696b316f2,Esso Tankstelle,ESSO,EINSTEINSTR. 168, ,81675,MUENCHEN,48.137168,11.621395,3.0,5.0,5.0,6.0,6
c8055d92-fe51-465c-8569-edda2a74b1a0,Aral Tankstelle,ARAL,Schenkendorfstraße,15,80807,München,48.17729,11.5893526,2.0,4.0,4.0,5.0,5
cc4d88db-5723-4f31-b029-b48895381499,Aral Tankstelle,ARAL,Rudolf-Diesel-Str.,2.,85235,Odelzhausen,48.30709,11.2037792,,,,5.0,5
cd76d303-7e72-4fc8-bbaf-04328901c322,"MUENCHEN, MOOSACHER STR.",Shell,MOOSACHER STR. 25,,80809,MUENCHEN,48.186541,11.561132,2.0,4.0,4.0,5.0,5
cda32095-d4dc-4067-9664-9d80de8ac472,GAUTING - MUENCHNER STRASSE 54,Agip,Muenchner Strasse,54,82131,Gauting,48.068958500025,11.388617366516,2.0,4.0,4.0,5.0,5
cde32a83-5c45-4797-aea3-5c92c5fc113e,Aral Tankstelle,ARAL,Landshuter Allee,163,80637,München,48.1635551,11.537343,2.0,4.0,4.0,5.0,5
ce503b9d-54d1-45c8-98e8-b1da736d4110,"MUENCHEN, SCHWERE-REITER- STR.",Shell,SCHWERE-REITER- STR. 26,,80797,MUENCHEN,48.16114,11.556605,2.0,4.0,4.0,5.0,5
cfdd36a1-5cec-4401-9c06-062d04b8fa09,Aral Tankstelle,ARAL,Bruckerstraße,34a,82266,Inning,48.08877,11.1509867,,,,5.0,2
d07b0067-f28e-4575-836e-b1d565b24b19,Esso Tankstelle,ESSO,MUENCHNER STR. 63, ,85221,DACHAU,48.249052,11.443683,2.0,4.0,4.0,5.0,5
d11f2fdf-b096-4192-a557-fa6a48446314,Aral Tankstelle,ARAL,Sigwolfstraße,2,85435,Erding,48.31487,11.8925667,,,,7.0,9
d2ccdd07-0827-41d8-a1ea-1d1cbee94a53,Aral Tankstelle,ARAL,Berg-am-Laim-Straße,60,81673,München,48.13051,11.6171732,3.0,5.0,5.0,6.0,6
d29cac69-fce1-48e1-acc7-e2071fce0f58,Ebersberg Am Forst 2,OMV,Am Forst,2,85560,Ebersberg,48.09624,11.96238,,,6.0,8.0,12
d2f097c6-08b3-41bc-a6c8-b97743d12a8f,MUENCHEN - WOLFRATSHAUSER STR. 232,Agip,Wolfratshauser Str.,232,81479,Muenchen,48.07575912255,11.523800278048,5.0,8.0,7.0,9.0,13
d7f5e6c6-db4f-4385-9e10-2c9c813ad1ab,TOTAL  HOHENLINDEN,TOTAL,JOSEF-NEUMEIER-STR.,1,85664,HOHENLINDEN,48.155685,11.986555,,,,0.0,0
d8670da9-ee86-451c-b78a-87ffe1a5c93a,München Verdistrasse 68,OMV,Verdistr.,68,81247,München,48.1649,11.4719,2.0,4.0,4.0,5.0,5
d9122fdf-cd05-4299-b83e-39c65aa1592f,KFZ-Tankstelle A. Neumaier ,Freie Tankstelle,Hauptstr. ,36b ,85656,Buch am Buchrain,48.216316,12.001255,,,,1.0,1
d96604a1-0ed7-4882-a292-0ab5436914c2,PLANEGG - BAHNHOFSTR 1,Agip,Bahnhofstr,1,82152,Planegg,48.101858537077,11.426278178278,2.0,4.0,4.0,5.0,5
d97f24ac-29f7-4fd5-9173-1d72ac24e894,"UNTERSCHLEISSHEIM, MÜNCHNER RING 1",Shell,MÜNCHNER RING 1,,85716,Unterschleissheim,48.272074,11.590795,7.0,10.0,9.0,12.0,16
d9babca4-6d00-4d08-81ca-421a3329b83a,Esso Tankstelle,ESSO,WALDWIESENSTR. 39, ,81375,MUENCHEN,48.117461,11.478291,2.0,4.0,4.0,5.0,5
da2fa50c-5be8-4c9a-bdaf-bae4b739a29d,MARKT INDERSDORF - MAROLDSTRASSE,Agip,Maroldstrasse,64,85229,Markt Indersdorf,48.35492,11.38783,,,1.0,1.0,1
daedd891-ce4f-4ed0-ae43-8e64063130dc,Sit-Station Grafing,,Rotter Straße,32,85567,Grafing,48.046177,11.973903,,,,3.0,3
db12f7e2-fc74-4fe6-8968-f30b62436ac1,Esso Tankstelle,ESSO,HOHENLINDNER STR. 34, ,85622,FELDKIRCHEN,48.147003,11.736785,4.0,6.0,6.0,8.0,10
db482d9a-3154-4886-90c9-5ddc26ff49aa,Aral Tankstelle,ARAL,Untere Hauptstraße,11,85386,Eching,48.29818,11.6250839,7.0,10.0,9.0,12.0,16
dba3e2af-0314-4c39-9a13-57244fdeb47d,"MUENCHEN, LIESL-KARLSTADTSTR.",Shell,LIESL-KARLSTADT-STR. 25,,81476,MUENCHEN,48.084623,11.49077,2.0,8.0,7.0,9.0,13
db36edf9-1b44-4358-8e29-e2bdf7b12ef1,Leonhard Anzenberger GmbH,freie Tankstelle,Münchner Straße,8,84424,Isen / Oberbayern,48.21235,12.05644,,,,,1
dc6d5b20-4cdd-402f-9772-08d7e62c7f85,"HOHENSCHAEFTLARN, MUENCHNER STR.",Shell,MUENCHNER STR. 60,,82069,HOHENSCHAEFTLARN,47.992021,11.45946,3.0,0.0,0.0,0.0,0
de4ab744-fb65-4998-8666-bbf110e42dcd,UNTERHACHING - MUENCHNER STR. 121A,Agip,Muenchner Str.,121A,82008,Unterhaching,48.074179551487,11.604503513993,0.0,0.0,0.0,0.0,0
de70d393-f605-484b-a6e4-caa3992ab8ec,Aral Tankstelle,ARAL,Boschetsrieder Straße,127,81379,München,48.09846,11.5185776,5.0,8.0,7.0,9.0,13
de935c7e-bbdd-4d77-942a-69a77d2c1060,Aral Tankstelle,ARAL,Riemer Straße,360,81829,München,48.1406326,11.6839161,3.0,5.0,5.0,6.0,6
dec2ebca-321f-4c94-9fe9-65f94d3732d4,SIT MARKT SCHWABEN,SIT,POINGER STR.,2,85570,MARKT SCHWABEN,48.190296,11.848462,,6.0,6.0,8.0,10
dfffa0d9-7e31-4dd2-8fec-79af950f13ac,Aral Tankstelle,ARAL,Dülferstraße,3,80933,München,48.21265,11.5601387,2.0,4.0,4.0,5.0,5
e1a15081-2561-9107-e040-0b0a3dfe563c,"München, Grünwalder Str. 112",HEM,Grünwalder Str.,112,81547,München,48.10162,11.567095,3.0,5.0,5.0,6.0,6
e2b1503f-6be0-4f7b-979f-b105f3ab28c9,München Freisinger Landstrasse 9,OMV,Freisinger Landstr.,9,80939,München,48.19044,11.61779,2.0,4.0,4.0,5.0,5
e32e8039-1552-4028-afc9-fd3c9376e44c,Aral Tankstelle,ARAL,An der Westumgehung,1,85521,Ottobrunn,48.0720329,11.6522636,0.0,0.0,0.0,0.0,0
e375b879-5c21-4e2d-87fa-a4db5aa100ee,Freie Tankstelle Freisinger Str 28 Marzling,,Freisinger Straße,28,85417,Marzling,48.411006,11.796209,,,,12.0,16
e4b3161b-269e-41f9-8c56-d813a6733668,TOTAL MUENCHEN,TOTAL,LEONRODSTR.,48,80636,MUENCHEN,48.157497,11.543893,2.0,4.0,4.0,5.0,5
e4e48d10-0b37-4ecf-a0bd-552b0302a4af,Kirchdorf Hauptstraße 1,OMV,Hauptstr.,1,85414,Kirchdorf,48.45841,11.6526,,,,,16
e5b69ac7-bdee-4c66-bd1a-a8ca8dbffb5d,Aral Tankstelle,ARAL,Münchner Straße,10,85635,Höhenkirchen-Siegert,48.0197258,11.7098722,0.0,0.0,0.0,0.0,0
e6d75bd3-6c9d-4883-869e-bba46bb3dc79,Aral Tankstelle,ARAL,Lochhausener Straße,229,81249,München,48.17895,11.4051456,2.0,4.0,4.0,5.0,5
e7e893e3-7027-46f5-ab06-da1301eed117,Aral Tankstelle,ARAL,Schroßlacher Straße,2,85391,Allershausen,48.4284248,11.5854406,,,,21.0,22
e9e805ea-8f6d-4450-9fcb-bacad82e4c7a,ELAN UNTERHACHING,ELAN,MUENCHNER STR.,92,82008,UNTERHACHING,48.07781,11.601109,0.0,0.0,0.0,0.0,0
ea323b55-089f-4293-91fc-49cbb6c60035,Esso Tankstelle,ESSO,ERDINGER STR. 5, ,85464,FINSING,48.222088,11.802614,4.0,6.0,6.0,8.0,10
eb8ff3b3-6e15-48c7-bb17-0d8fdd1e11ff,Aral Tankstelle,ARAL,Plinganser Str.,70,81369,München,48.1122742,11.5391817,5.0,8.0,7.0,9.0,13
ec0282d1-1ca2-4f31-8f91-455dc78225cb,Esso Tankstelle,ESSO,ERDINGERSTR. 145, ,85356,FREISING,48.384348,11.7643,,,,12.0,16
eca70e95-396b-4ed5-99bf-001f66c5f0d8,"MUENCHEN, VERDISTR.",Shell,VERDISTR. 96,,81247,MUENCHEN,48.164999,11.467211,2.0,4.0,4.0,5.0,5
ed29a720-c573-49d1-af9c-467c8d83969d,TOTAL MUENCHEN,TOTAL,PETUELRING,92,80807,MUENCHEN,48.17816,11.572129,2.0,4.0,4.0,5.0,5
efce68ae-2e4a-402b-9140-edfa5dfe37c0,Bavaria Petrol,Bavaria Petrol,Berghamer Straße,3,85435,Erding,48.2766037,11.8991833,,,10.0,7.0,9
f045fada-044b-416a-be61-5caf3306a331,"GROEBENZELL, OLCHINGER STR",Shell,OLCHINGER STR. 152,,82194,GROEBENZELL,48.192396,11.373518,2.0,1.0,2.0,5.0,5
f0662565-9a1f-46c9-b93d-4a4facc32e9f,MUENCHEN - FLUGHAFEN NORDALLEE 45,Agip,Flughafen Nordallee,45,85356,Muenchen,48.353954343494,11.749375602332,,,23.0,30.0,30
f0686712-bcfb-40c8-a2eb-9fbb48a24aa3,Esso Tankstelle,ESSO,LORTZINGSTR. 20, ,81241,MUENCHEN,48.148871,11.455071,2.0,4.0,4.0,5.0,5
f2ed6cb5-d0ba-4256-a741-26f56f2d76eb,AVIA Tankstelle,AVIA,Dachauer Straße,10,85247,Schwabhausen,48.296444,11.373626,,4.0,4.0,5.0,5
f3aacba3-28e5-4413-acfa-871464c726c0,MUENCHEN - INNSBRUCKER RING 149,Agip,Innsbrucker Ring,149,81669,Muenchen,48.114350947858,11.61760989143,3.0,5.0,5.0,6.0,6
f556416a-5165-4ab4-98cf-dfcb13c9b952,Zorneding Münchner Strasse 13,OMV,Münchener Str.,13,85604,Zorneding,48.08304,11.82219,4.0,1.0,6.0,8.0,8
f66a6567-785f-4ad4-bd96-a7ce26062b5e,"GRUENWALD, SUEDLICHE MUENCHNER STR.",Shell,SUEDLICHE MUENCHNER STR. 27,,82031,GRUENWALD,48.046886,11.52978,3.0,0.0,0.0,0.0,0
f8172913-8f84-5294-67d9-b79580bc6cb8,pur. einfach tanken,,Gewerbering,8a,82544,Egling,47.9297529,11.5007398,,2.0,0.0,1.0,1
f85cbd55-485e-4bb9-956b-aefb3232d33d,BK-Tankstelle Aichinger,,Hauptstraße ,39,82234,Weßling,48.0755,11.249683,,,0.0,0.0,1
f96b0d2b-c33b-4d8e-a08b-6a9e2f3c657a,MUENCHEN - JOSEPHSPITALSTR. 12,Agip,Josephspitalstrasse,12,80331,Muenchen,48.136641,11.56622,3.0,0.0,0.0,0.0,0
fb150c27-af4b-40fa-aaea-47436bc12041,Aral Tankstelle,ARAL,Garmischer Straße,197,81377,München,48.1213455,11.5188169,2.0,4.0,4.0,5.0,5
fb79c457-543a-4ff6-ba70-cd270ac2110a,Aral Tankstelle,ARAL,Kapuzinerstraße,46,80469,München,48.12389,11.5648308,3.0,0.0,0.0,0.0,0
fd3b21d3-11f7-403c-9884-3668dba7d316,BK-Tankstelle Christian Schmerber,,Pfaffenhofener Str. ,14,85293,Reichertshausen,48.4694,11.509167,,,,,1
fe50b4a5-84c9-4812-a0b7-4b29f589e1e2,UNTERHACHING - ALBERT-SCHWEITZER-ST,Agip,Albert-Schweitzer-Str.,68,82008,Unterhaching,48.082864463563,11.60232256796,0.0,0.0,0.0,0.0,0
fe9be5a3-0e5e-4f29-b07d-69faddac3390,Aral Tankstelle,ARAL,Landsberger Straße,423-425,81241,München,48.14511,11.4786148,2.0,4.0,4.0,5.0,5
feb28bec-a110-4805-9739-3d2042711489,Drivers Inn Tankstelle,Freie Tankstelle,Innstraße,1,85640,Putzbrunn,48.0817,11.6916,0.0,0.0,0.0,0.0,0
1a40cfdc-15d1-4aaf-be32-407f117d285a,ELAN SCHWABHAUSEN,ELAN,AUGSBURGER STR.,4,85247,SCHWABHAUSEN,48.303417,11.355189,,4.0,4.0,5.0,5
68fde088-9a72-4887-bab3-9cd82a001dc7,Aral Tankstelle,ARAL,Tegernseer Landstraße,174,81539,München,48.1077423,11.5795317,3.0,5.0,5.0,6.0,6
9ae83fef-f6ca-44e8-9cbd-1fee129a1686,AVIA Tankstelle,AVIA,Thalhauser Straße,44,85354,Freising,48.39981,11.730195,,,,12.0,16
a34a8781-33c1-40b4-85a1-5e2645248f24,Aral Tankstelle,ARAL,Johann-G.-Gutenbergstraße,1,82140,Olching,48.1993027,11.3348866,2.0,1.0,2.0,5.0,5
bcef8473-305c-4617-aa90-a87a459786ee,München Freisinger Landstrasse 26,OMV,Freisinger Landstr.,26,80939,München,48.19113,11.62036,2.0,4.0,4.0,5.0,5
e50c6d10-4349-434d-b2db-a092099831eb,FTO-Freie Tankstelle Oliv Wolfratshausen,,Hans-Urmiller-Ring,21,82515,Wolfratshausen,47.903821,11.425926,,,22.0,13.0,7
e8c48b48-5ec2-4795-96e9-95391c371c24,Holzkirchen Maitz 3,OMV,Maitz,3,83607,Holzkirchen,47.88855,11.68485,,,0.0,0.0,8
51d4b535-a095-1aa0-e100-80009459e03a,JET MUENCHEN HEIDEMANNSTR. 40,JET,HEIDEMANNSTR. 40,,80939,MUENCHEN,48.2011,11.5898,2.0,4.0,4.0,5.0,5
f19f6aec-ab83-4c6e-93c3-9b68329e3f6a,Fürholzen,OMV,Ausfahrt Fürholzen,A 9,85376,Fürholzen,48.33577,11.61124,,7.0,16.0,22.0,23
00060437-0001-4444-8888-acdc00000001,KFZService Schneider & Mahl/Easy Sprit,Easy Sprit,Münchner Strasse,21,82278,Althegnenberg,48.234310150146,11.070441246033,,,,,0
0a232eef-5e75-4a2b-a0b0-d31e1883e29f,"MUENCHEN, BODENSEESTR.",Shell,BODENSEESTR. 40,,81243,MUENCHEN,48.146904,11.451424,2.0,4.0,4.0,5.0,5
2e42747d-1be1-472a-4fc5-d3073ad7d533,Freie Tankstelle Endrass,freie Tankstelle Endrass,Kistlerhofstr.,259,81379,München,48.094091,11.505642,5.0,8.0,7.0,9.0,13
51d4b41e-a095-1aa0-e100-80009459e03a,Supermarkt-Tankstelle ECHING HEISENBERGSTR. 3,Supermarkt-Tankstelle,HEISENBERGSTR. 3,,85386,ECHING,48.3032,11.6313,7.0,10.0,9.0,12.0,16
51d4b49a-a095-1aa0-e100-80009459e03a,JET MUENCHEN FRANKFURTER RING 241,JET,FRANKFURTER RING 241,,80807,MUENCHEN,48.1867,11.6066,2.0,4.0,4.0,5.0,5
51d4b676-a095-1aa0-e100-80009459e03a,JET MUENCHEN FUERSTENRIEDER STR. 207,JET,FUERSTENRIEDER STR. 207,,81377,MUENCHEN,48.1176,11.5028,2.0,4.0,4.0,5.0,5
26d1059f-e9f0-4911-8474-9693f76a6fec,MUENCHEN - IMPLER STR. 21,Agip,Impler Str.,21,81371,Muenchen,48.122377853127,11.548642150647,3.0,0.0,0.0,0.0,0
51d4b443-a095-1aa0-e100-80009459e03a,JET MUENCHEN LANDSBERGER STR. 184,JET,LANDSBERGER STR. 184,,80687,MUENCHEN,48.1411,11.5226,2.0,4.0,4.0,5.0,5
9d296741-8247-4a5f-be34-4aafe9e36a2c,AVIA Tankstelle,AVIA Xpress,Augsburger Straße,1,82278,Althegnenberg,48.234463,11.062729,,,,,0
00041450-0002-4444-8888-acdc00000002,NeebTank,,Lochhamer Schlag,13,82166,Gräfelfing,48.121894836426,11.451392173767,0.0,0.0,0.0,0.0,0
00060389-0002-4444-8888-acdc00000002,Seitz Tankstelle Weichs,Seitz Tankstellen,Münchner Straße,19,85258,Weichs,48.378456115723,11.410413742065,,,1.0,1.0,1
00060399-0001-4444-8888-acdc00000001,Tankstelle Gartner,,Zinneberger St,11,85625,Glonn,47.988662719727,11.874496459961,,,0.0,1.0,1
00061055-0003-4444-8888-acdc00000003,S-Tank GmbH,S-TANK Langenpettenbach,Schrobenhauserstraße,1,85229,Langenpettenbach,48.380958557129,11.353256225586,,,,0.0,1
0186b46d-eeba-4a5a-8982-76be5acf8dee,Bavaria Petrol,Bavaria Petrol,Eugen-Sänger-Ring,1,85649,Brunnthal,48.0430336,11.6643181,0.0,0.0,0.0,0.0,0
19275bf1-8186-47d8-b5eb-261431afaced,Esso Tankstelle,ESSO,SCHLOSSSTR. 161 A, ,82140,OLCHING,48.198251,11.301376,,1.0,2.0,2.0,2
05b4fbb3-13d8-4641-a461-543901e25b29,"MUENCHEN, TEGERNSEER LANDSTR.",Shell,TEGERNSEER LANDSTR. 181,,81539,MUENCHEN,48.107649,11.580246,3.0,5.0,5.0,6.0,6
2ba871b9-634a-4b92-9b5c-5c3efda57077,ALLGUTH GmbH  c/o Tank & Bistro GmbH,ALLGUTH,Fürstenrieder Straße,210,81377,München,48.12108,11.50224,2.0,8.0,7.0,9.0,13
345b76b2-e4f6-4914-a3c8-0d1e29a082b5,ALLGUTH GmbH  c/o Mathias Gebhard e.K.,ALLGUTH,Dieselstraße,4,85716,Unterschleißheim,48.281574,11.5723295,6.0,9.0,8.0,11.0,15
42ddd4e2-9c2e-41d5-b441-eb9f54259535,Fürstenfeldbruck Münchner Strasse 30,Avanti,Münchner Str.,30,82256,Fürstenfeldbruck,48.17659,11.25996,,1.0,2.0,2.0,2
47b6c7c4-65fe-4ad5-8aab-3969e53a084c,MÜNCHEN - BOSCHETSRIEDER STR. 162,Agip,Boschetsrieder Str.,162,81379,München,48.099,11.50711,5.0,8.0,7.0,9.0,13
48500bf0-4e43-4c10-958b-5bb9eb17fb62,MUENCHEN - COSIMASTRASSE 234,Agip,Cosimastrasse,234,81927,Muenchen,48.17227843144,11.636868397327,3.0,5.0,5.0,6.0,6
51810dfd-e107-4f6a-5fb5-8e6b5f099bb3,SÜD-TREIBSTOFF TANKSTELLE,freie Tankstelle,Schönstraße,15,81543,München,48.110357,11.567889,9.0,11.0,12.0,16.0,18
51d4b65d-a095-1aa0-e100-80009459e03a,JET ERDING ALTE ROEMERSTR. 17,JET,ALTE ROEMERSTR. 17,,85435,ERDING,48.3115,11.9195,,,,7.0,9
51d4b6b2-a095-1aa0-e100-80009459e03a,JET MAISACH GERTRAUD-KOELBL-STR. 2,JET,GERTRAUD-KOELBL-STR. 2,,82216,MAISACH,48.217339,11.265664,,1.0,2.0,2.0,2
51d4b6bd-a095-1aa0-e100-80009459e03a,JET OLCHING GEISELBULLACHER STR. 1,JET,GEISELBULLACHER STR. 1,,82140,OLCHING,48.2233,11.3368,,13.0,14.0,18.0,2
64cc4dd1-1473-4404-83e8-bb816df582c9,Gruber Ottobrunn,Gruber Freie Tankstelle,Rosenheimer Landstraße,50,85521,Ottobrunn,48.063716,11.661821,11.0,14.0,17.0,24.0,25
8d3f8ec1-95ba-42bc-9c9a-79432c2695e3,Aral Tankstelle,ARAL,Richard Strauss-Straße,70,81679,München,48.1457176,11.6163387,3.0,5.0,5.0,6.0,6
900fc4ef-a973-4baf-981d-ab86b0c199c2,UNTERSCHLEIßHEIM - BEZIRKSSTRAßE,Agip,Bezirksstraße,29,85716,Unterschleißheim,48.281759548411,11.575788998547,7.0,10.0,9.0,12.0,16
90295382-9fae-42c2-b84d-1bfac2545fb5,MAITENBETH - THAL 11,Agip,Thal,11,83558,Maitenbeth-Thal,48.152753252935,12.089514664894,,,,,0
d3ef2892-11b5-4032-adf9-13cf2206f726,Anzing Münchner Strasse 11,OMV,Münchner Str.,11,85646,Anzing,48.15124,11.85108,,6.0,6.0,8.0,10
e42c4d80-1f3d-4456-9a28-1d0a665e09fb,Aral Tankstelle,ARAL,Alte Römerstraße,50,85221,Dachau,48.2596855,11.4699373,2.0,4.0,4.0,5.0,5
